ecotype,days_after_sowing,mean,std
adh1,0.5,4.25,0.5
adh1,1.0,4.25,0.5
adh1,1.5,4.75,0.4999999999999999
adh1,2.0,4.5,0.5773502691896258
adh1,2.5,5.0,0.0
adh1,3.0,5.25,0.4999999999999999
adh1,3.5,5.25,0.5
adh1,4.0,5.5,1.0
adh1,4.5,5.5,0.5773502691896258
adh1,5.0,6.5,1.0
adh1,5.5,6.0,1.1547005383792515
adh1,6.0,6.25,0.9574271077563381
adh1,6.5,6.5,0.5773502691896258
adh1,7.0,7.0,0.816496580927726
adh1,7.5,6.75,1.707825127659933
adh1,8.0,5.75,0.9574271077563382
adh1,8.5,7.0,1.632993161855452
adh1,9.0,7.0,1.4142135623730951
adh1,9.5,7.5,1.2909944487358056
adh1,10.0,7.25,1.2583057392117916
adh1,10.5,8.25,1.707825127659933
adh1,11.0,8.5,1.0
adh1,11.5,7.75,0.9574271077563381
adh1,12.0,8.75,0.957427107756338
adh1,12.5,9.25,0.957427107756338
adh1,13.0,9.0,0.816496580927726
adh1,13.5,9.5,1.2909944487358056
adh1,14.0,9.5,1.0
adh1,14.5,9.75,1.5
adh1,15.0,9.75,0.5000000000000001
adh1,15.5,10.0,0.8164965809277263
adh1,16.0,10.5,0.9999999999999998
adh1,16.5,10.75,0.5000000000000001
adh1,17.0,11.5,1.2909944487358056
adh1,17.5,11.75,0.5000000000000001
adh1,18.0,11.75,0.5000000000000001
adh1,18.5,11.5,0.5773502691896257
adh1,19.0,12.5,0.9999999999999998
adh1,19.5,12.75,0.49999999999999983
adh1,20.0,12.25,0.5000000000000001
adh1,20.5,12.5,0.5773502691896257
adh1,21.0,12.75,1.707825127659933
adh1,21.5,14.25,0.9574271077563381
adh1,22.0,14.0,0.816496580927726
adh1,22.5,14.75,1.2583057392117916
adh1,23.0,14.5,0.9999999999999998
adh1,23.5,14.75,1.892969448600091
adh1,24.0,14.75,0.957427107756338
adh1,24.5,15.0,0.816496580927726
adh1,25.0,15.0,1.4142135623730951
adh1,25.5,14.25,1.2583057392117916
adh1,26.0,15.25,1.5
col0,0.5,4.6,0.547722557505166
col0,1.0,5.0,0.7071067811865476
col0,1.5,4.8,0.44721359549995787
col0,2.0,5.0,0.0
col0,2.5,5.2,0.44721359549995804
col0,3.0,5.2,0.44721359549995787
col0,3.5,6.4,0.894427190999916
col0,4.0,5.8,0.8366600265340757
col0,4.5,6.6,1.3416407864998738
col0,5.0,6.4,0.5477225575051661
col0,5.5,6.4,0.5477225575051662
col0,6.0,5.6,0.8944271909999159
col0,6.5,6.6,1.140175425099138
col0,7.0,6.8,0.8366600265340756
col0,7.5,7.2,1.0954451150103321
col0,8.0,7.2,0.8366600265340756
col0,8.5,8.0,1.224744871391589
col0,9.0,8.0,0.7071067811865476
col0,9.5,8.6,0.5477225575051662
col0,10.0,8.6,1.1401754250991378
col0,10.5,9.4,0.8944271909999157
col0,11.0,9.2,0.8366600265340755
col0,11.5,9.4,0.5477225575051662
col0,12.0,9.8,1.3038404810405297
col0,12.5,9.8,1.6431676725154982
col0,13.0,9.8,1.0954451150103324
col0,13.5,10.4,1.51657508881031
col0,14.0,10.6,1.6733200530681511
col0,14.5,10.6,0.8944271909999161
col0,15.0,11.4,0.8944271909999157
col0,15.5,12.0,1.2247448713915892
col0,16.0,12.0,1.5811388300841895
col0,16.5,12.2,1.4832396974191324
col0,17.0,12.6,1.3416407864998738
col0,17.5,13.2,0.8366600265340755
col0,18.0,13.4,0.8944271909999161
col0,18.5,13.8,1.4832396974191326
col0,19.0,14.6,1.51657508881031
col0,19.5,14.8,0.8366600265340757
col0,20.0,14.8,1.6431676725154984
col0,20.5,15.6,1.140175425099138
col0,21.0,15.8,1.6431676725154984
col0,21.5,16.8,2.16794833886788
col0,22.0,16.6,2.190890230020665
col0,22.5,16.8,1.095445115010332
col0,23.0,17.2,2.6832815729997472
col0,23.5,17.0,0.7071067811865476
col0,24.0,17.4,0.8944271909999161
col0,24.5,17.6,0.8944271909999161
col0,25.0,17.6,1.51657508881031
col0,25.5,18.4,1.51657508881031
col0,26.0,18.4,1.1401754250991376
ctr,0.5,1.8,0.8366600265340756
ctr,1.0,1.8,0.4472135954999579
ctr,1.5,2.0,0.7071067811865476
ctr,2.0,1.8,0.4472135954999579
ctr,2.5,2.2,1.0954451150103321
ctr,3.0,2.8,0.8366600265340756
ctr,3.5,3.2,0.8366600265340756
ctr,4.0,3.2,0.8366600265340756
ctr,4.5,3.8,1.3038404810405297
ctr,5.0,3.6,0.8944271909999159
ctr,5.5,3.4,1.3416407864998738
ctr,6.0,4.0,0.7071067811865476
ctr,6.5,4.2,0.44721359549995787
ctr,7.0,4.4,0.5477225575051662
ctr,7.5,4.4,0.547722557505166
ctr,8.0,5.0,0.7071067811865476
ctr,8.5,4.8,0.8366600265340756
ctr,9.0,4.6,0.5477225575051663
ctr,9.5,5.0,0.7071067811865476
ctr,10.0,4.8,0.4472135954999579
ctr,10.5,5.6,1.140175425099138
ctr,11.0,6.2,0.4472135954999579
ctr,11.5,6.0,0.7071067811865476
ctr,12.0,5.8,0.8366600265340756
ctr,12.5,6.4,0.894427190999916
ctr,13.0,6.4,1.140175425099138
ctr,13.5,6.2,0.8366600265340756
ctr,14.0,7.2,0.8366600265340756
ctr,14.5,7.6,1.51657508881031
ctr,15.0,7.6,1.140175425099138
ctr,15.5,7.6,0.5477225575051662
ctr,16.0,7.6,1.1401754250991378
ctr,16.5,8.0,0.7071067811865476
ctr,17.0,8.2,0.8366600265340756
ctr,17.5,9.2,1.0954451150103321
ctr,18.0,8.0,1.224744871391589
ctr,18.5,8.4,1.140175425099138
ctr,19.0,8.4,1.140175425099138
ctr,19.5,9.4,0.5477225575051662
ctr,20.0,10.2,1.30384048104053
ctr,20.5,10.4,0.8944271909999159
ctr,21.0,10.0,1.5811388300841898
ctr,21.5,10.0,1.5811388300841898
ctr,22.0,9.8,1.6431676725154984
ctr,22.5,10.8,1.3038404810405297
ctr,23.0,11.0,1.0
ctr,23.5,11.6,1.1401754250991378
ctr,24.0,12.4,0.5477225575051662
ctr,24.5,12.0,0.7071067811865477
ctr,25.0,12.4,1.140175425099138
ctr,25.5,12.4,1.51657508881031
ctr,26.0,12.0,0.0
ein2,0.5,5.0,0.0
ein2,1.0,4.8,0.44721359549995787
ein2,1.5,5.0,0.0
ein2,2.0,5.0,0.0
ein2,2.5,5.6,0.5477225575051662
ein2,3.0,6.0,0.0
ein2,3.5,6.8,0.4472135954999579
ein2,4.0,6.8,0.8366600265340755
ein2,4.5,6.6,0.5477225575051662
ein2,5.0,6.6,0.8944271909999159
ein2,5.5,7.6,0.8944271909999159
ein2,6.0,7.0,0.7071067811865475
ein2,6.5,8.0,0.0
ein2,7.0,7.4,0.5477225575051661
ein2,7.5,8.2,0.44721359549995804
ein2,8.0,8.2,1.3038404810405297
ein2,8.5,8.8,1.3038404810405297
ein2,9.0,8.8,1.0954451150103324
ein2,9.5,8.8,1.3038404810405297
ein2,10.0,9.6,0.5477225575051662
ein2,10.5,9.6,1.1401754250991378
ein2,11.0,9.4,0.8944271909999161
ein2,11.5,10.0,0.7071067811865476
ein2,12.0,9.4,1.140175425099138
ein2,12.5,10.2,1.3038404810405297
ein2,13.0,10.8,0.8366600265340756
ein2,13.5,11.8,1.30384048104053
ein2,14.0,11.6,0.5477225575051661
ein2,14.5,12.2,0.8366600265340752
ein2,15.0,13.8,0.44721359549995787
ein2,15.5,13.2,0.8366600265340753
ein2,16.0,13.4,1.5165750888103104
ein2,16.5,13.4,1.3416407864998738
ein2,17.0,14.4,0.8944271909999161
ein2,17.5,14.6,1.1401754250991378
ein2,18.0,15.4,0.5477225575051662
ein2,18.5,15.0,1.0
ein2,19.0,15.4,0.5477225575051662
ein2,19.5,15.8,0.44721359549995804
ein2,20.0,15.4,0.8944271909999159
ein2,20.5,16.2,1.0954451150103324
ein2,21.0,15.8,1.6431676725154984
ein2,21.5,16.4,1.673320053068151
ein2,22.0,16.0,1.5811388300841895
ein2,22.5,16.4,1.1401754250991378
ein2,23.0,16.4,1.1401754250991376
ein2,23.5,16.6,0.8944271909999161
ein2,24.0,16.8,1.30384048104053
ein2,24.5,17.8,0.8366600265340757
ein2,25.0,18.0,1.4142135623730951
ein2,25.5,18.2,1.6431676725154984
ein2,26.0,18.0,0.7071067811865472
pgm,0.5,4.0,1.0
pgm,1.0,4.2,0.44721359549995787
pgm,1.5,4.6,0.547722557505166
pgm,2.0,4.4,0.5477225575051662
pgm,2.5,4.4,0.5477225575051662
pgm,3.0,5.0,0.7071067811865475
pgm,3.5,5.2,0.44721359549995787
pgm,4.0,5.0,0.0
pgm,4.5,5.2,0.44721359549995804
pgm,5.0,5.4,0.5477225575051662
pgm,5.5,5.6,0.547722557505166
pgm,6.0,6.0,0.7071067811865476
pgm,6.5,5.6,0.547722557505166
pgm,7.0,5.8,0.44721359549995787
pgm,7.5,5.8,0.44721359549995787
pgm,8.0,6.2,1.0954451150103324
pgm,8.5,6.6,0.5477225575051663
pgm,9.0,6.6,0.547722557505166
pgm,9.5,6.8,0.8366600265340755
pgm,10.0,6.8,0.44721359549995787
pgm,10.5,6.6,0.8944271909999157
pgm,11.0,8.0,0.7071067811865476
pgm,11.5,7.2,0.8366600265340756
pgm,12.0,8.0,0.7071067811865476
pgm,12.5,7.8,0.8366600265340756
pgm,13.0,8.8,0.8366600265340757
pgm,13.5,8.6,0.5477225575051662
pgm,14.0,9.6,0.547722557505166
pgm,14.5,9.2,0.44721359549995804
pgm,15.0,9.8,0.8366600265340756
pgm,15.5,9.6,0.8944271909999161
pgm,16.0,9.8,0.8366600265340756
pgm,16.5,9.6,0.547722557505166
pgm,17.0,10.0,0.9999999999999999
pgm,17.5,10.6,0.5477225575051662
pgm,18.0,10.4,1.3416407864998738
pgm,18.5,10.2,1.4832396974191326
pgm,19.0,10.8,1.30384048104053
pgm,19.5,11.4,1.140175425099138
pgm,20.0,12.2,1.3038404810405297
pgm,20.5,11.6,1.140175425099138
pgm,21.0,11.8,1.095445115010332
pgm,21.5,12.0,0.7071067811865477
pgm,22.0,12.8,1.095445115010332
pgm,22.5,12.6,1.3416407864998736
pgm,23.0,12.4,1.51657508881031
pgm,23.5,13.0,1.5811388300841898
pgm,24.0,14.0,1.4142135623730951
pgm,24.5,13.6,1.816590212458495
pgm,25.0,14.0,0.7071067811865476
pgm,25.5,13.8,1.0954451150103326
pgm,26.0,14.2,0.44721359549995787
