ecotype,days_after_sowing,mean,std
adh1,0.5,2.19,0.194422220952236
adh1,1.0,2.4975,0.32714675605911175
adh1,1.5,2.7075,0.3298863440641336
adh1,2.0,3.1125,0.3906724971123511
adh1,2.5,3.2625,0.3619737559547654
adh1,3.0,3.6675,0.30037476591751144
adh1,3.5,4.05,0.4009987531152684
adh1,4.0,4.5825,0.5522906843320823
adh1,4.5,4.545,0.4385202389856139
adh1,5.0,5.1225000000000005,0.5756952318718646
adh1,5.5,5.1674999999999995,0.7292633269265639
adh1,6.0,5.8575,0.8224506064196196
adh1,6.5,5.5575,0.3875886995256698
adh1,7.0,6.585,0.8235897036753193
adh1,7.5,6.33,1.0290772565750348
adh1,8.0,7.1025,1.1557789581057447
adh1,8.5,7.2075,1.2864777495160962
adh1,9.0,8.114999999999998,1.1779218989389741
adh1,9.5,8.7075,1.1557789581057445
adh1,10.0,9.0075,1.2638927960867565
adh1,10.5,9.9,1.3534400614729862
adh1,11.0,11.1075,1.040204306855149
adh1,11.5,11.0625,0.41883767738826966
adh1,12.0,12.6,1.046995701996909
adh1,12.5,13.185,0.8730979326513163
adh1,13.0,14.317499999999999,1.1308514491302553
adh1,13.5,16.38,1.934476673418421
adh1,14.0,17.1075,1.881389114457718
adh1,14.5,18.345,2.1514413773096406
adh1,15.0,20.52,2.5958813532209057
adh1,15.5,21.72,2.8667403091316093
adh1,16.0,23.2875,2.800611540360428
adh1,16.5,24.4575,2.844191449252318
adh1,17.0,25.35,2.795317513271077
adh1,17.5,28.245,2.973634140239852
adh1,18.0,27.9225,3.283995280142772
adh1,18.5,30.66,2.8264819122011025
adh1,19.0,32.0775,3.009223321722733
adh1,19.5,35.167500000000004,1.7050586500176512
adh1,20.0,35.3625,2.5675718100960694
adh1,20.5,38.805,3.233929498303881
adh1,21.0,40.2375,1.7701482988721577
adh1,21.5,42.825,3.160363903097241
adh1,22.0,44.34,3.955982810882777
adh1,22.5,46.125,4.644383705078641
adh1,23.0,46.95,6.639111386322723
adh1,23.5,47.3325,6.437423785956615
adh1,24.0,48.1575,5.9587771396487055
adh1,24.5,49.155,5.915936105131632
adh1,25.0,49.815,6.358938590676906
adh1,25.5,49.965,6.506127880698316
adh1,26.0,51.3,6.724596642178622
col0,0.5,3.63,0.5252142420003476
col0,1.0,4.116,0.38907582808496366
col0,1.5,4.284,0.3302726146685491
col0,2.0,4.247999999999999,0.4492994547069919
col0,2.5,5.1240000000000006,0.37132196272237905
col0,3.0,5.5920000000000005,0.5792408825350642
col0,3.5,6.8759999999999994,0.6563764163953487
col0,4.0,6.581999999999999,0.6947445573734274
col0,4.5,7.452,1.0436809857422908
col0,5.0,7.536,0.6998428395004118
col0,5.5,8.117999999999999,0.7703051343461239
col0,6.0,8.532,1.2072158050655233
col0,6.5,8.814,0.9664005380793207
col0,7.0,9.702,0.9103405956014488
col0,7.5,10.35,0.9047375310000141
col0,8.0,10.698,1.1840692547313272
col0,8.5,12.198,1.8226820896689577
col0,9.0,12.822,1.2244263963178843
col0,9.5,14.292000000000002,1.8100469607167662
col0,10.0,15.126,1.92133547304993
col0,10.5,17.4,1.772667481509152
col0,11.0,17.706,2.365001057082216
col0,11.5,21.09,1.2722617655184014
col0,12.0,21.06,2.2119787521583465
col0,12.5,23.880000000000003,2.2617692189964913
col0,13.0,23.544,4.368189556326511
col0,13.5,28.296,4.537265696429953
col0,14.0,30.144,5.017243266974406
col0,14.5,33.45,4.459467456995284
col0,15.0,34.230000000000004,4.956495737918071
col0,15.5,37.338,6.216503840584353
col0,16.0,40.074,5.913592816554081
col0,16.5,42.708,6.095450762658983
col0,17.0,45.42,8.913736590229712
col0,17.5,49.29,8.588623288979441
col0,18.0,51.198,6.799405856396572
col0,18.5,54.072,6.259857825861541
col0,19.0,54.660000000000004,6.276886170705982
col0,19.5,60.312,5.7019970185891875
col0,20.0,62.286,6.0125269230166465
col0,20.5,67.65599999999999,6.830203510877257
col0,21.0,69.372,7.771407208479041
col0,21.5,74.082,9.741471654734717
col0,22.0,75.192,9.350538487167462
col0,22.5,77.376,8.2235959287893
col0,23.0,77.664,9.017767462071749
col0,23.5,77.514,7.151190809928092
col0,24.0,78.582,8.070128251768987
col0,24.5,79.518,7.990048185086249
col0,25.0,79.8,8.513553899518108
col0,25.5,80.226,8.161637703304402
col0,26.0,80.238,10.320732532141315
ctr,0.5,1.014,0.30988707620680145
ctr,1.0,0.942,0.1691744661584603
ctr,1.5,0.978,0.22106560112328644
ctr,2.0,1.05,0.23140872930812262
ctr,2.5,1.176,0.31564220250150327
ctr,3.0,1.35,0.24279621084357966
ctr,3.5,1.6019999999999999,0.34244707620302434
ctr,4.0,1.572,0.31363992092844317
ctr,4.5,1.842,0.4562565068029165
ctr,5.0,1.9620000000000002,0.3891914695879136
ctr,5.5,1.998,0.6581565163393885
ctr,6.0,2.202,0.44223297027697966
ctr,6.5,2.244,0.2987975903517295
ctr,7.0,2.4,0.3374166563760597
ctr,7.5,2.448,0.29516097302997235
ctr,8.0,2.592,0.25508822003377574
ctr,8.5,2.628,0.3304088376542006
ctr,9.0,2.628,0.36286361074100554
ctr,9.5,2.742,0.3457166469813104
ctr,10.0,2.772,0.402827506508679
ctr,10.5,3.066,0.5799396520328645
ctr,11.0,3.3840000000000003,0.3370163200796067
ctr,11.5,3.4200000000000004,0.5217758139277826
ctr,12.0,3.4259999999999997,0.42869569626951004
ctr,12.5,3.678,0.4830838436544946
ctr,13.0,3.9659999999999997,0.6418177311355614
ctr,13.5,4.002000000000001,0.5941969370503358
ctr,14.0,4.29,0.5766714836022326
ctr,14.5,4.446,0.9818757558876784
ctr,15.0,4.746,0.985763663359529
ctr,15.5,4.787999999999999,0.78991771723389
ctr,16.0,5.112,0.783051722429623
ctr,16.5,5.55,0.7857480512225278
ctr,17.0,6.042,0.8320877357586755
ctr,17.5,6.162,0.8012303039700879
ctr,18.0,5.970000000000001,1.3347471670694788
ctr,18.5,6.492,1.3727417819823218
ctr,19.0,7.044,1.3727090004804372
ctr,19.5,7.529999999999999,1.4342070980161825
ctr,20.0,8.478,1.5979893616667165
ctr,20.5,8.766,1.4582283771755373
ctr,21.0,8.742,1.586401588501473
ctr,21.5,8.952,1.6943494326732025
ctr,22.0,9.384,2.302917714552563
ctr,22.5,10.193999999999999,2.1471911885065103
ctr,23.0,10.98,2.0577900767571022
ctr,23.5,11.076,2.206315933858975
ctr,24.0,12.156,2.0912388672746105
ctr,24.5,11.886,1.8416921566863442
ctr,25.0,13.602,2.684924579946335
ctr,25.5,12.612,2.4122126771907983
ctr,26.0,13.469999999999999,2.9630221058912123
ein2,0.5,4.470000000000001,0.6321392251711647
ein2,1.0,4.938000000000001,0.7043933560163668
ein2,1.5,5.154,0.562609989246547
ein2,2.0,5.5200000000000005,0.8340863264674712
ein2,2.5,6.0600000000000005,0.8091662375556706
ein2,3.0,6.744,0.9240292203171931
ein2,3.5,7.470000000000001,0.953886785735079
ein2,4.0,8.286,1.327716084108345
ein2,4.5,8.778,1.49573393355904
ein2,5.0,9.581999999999999,1.620638762957372
ein2,5.5,10.308,1.8385374622237112
ein2,6.0,10.956,1.7750014084501449
ein2,6.5,11.418000000000001,2.16713405215275
ein2,7.0,12.336,2.1716767715293175
ein2,7.5,13.14,2.903187902978379
ein2,8.0,14.801999999999998,3.126238954398719
ein2,8.5,15.51,2.810008896783067
ein2,9.0,16.644,2.5310827722538023
ein2,9.5,17.394,2.9469865965083715
ein2,10.0,18.486,2.833404312836416
ein2,10.5,20.214,2.8910257695150343
ein2,11.0,21.869999999999997,3.1831823698933746
ein2,11.5,24.03,3.632912055087488
ein2,12.0,24.624000000000002,3.0099883720705622
ein2,12.5,26.886000000000003,3.9355723853081392
ein2,13.0,29.22,3.952777504489721
ein2,13.5,33.114,5.160279062221344
ein2,14.0,33.63,4.5511097547741
ein2,14.5,38.838,5.814337451507262
ein2,15.0,40.092,6.1424441389401325
ein2,15.5,43.902,6.686790710049181
ein2,16.0,45.222,7.184783921594302
ein2,16.5,46.854,6.371536706321324
ein2,17.0,49.098,6.284072723958561
ein2,17.5,51.684000000000005,5.634547896681686
ein2,18.0,53.84400000000001,4.997562405813458
ein2,18.5,55.746,3.956043478021949
ein2,19.0,57.852,5.8105438643899765
ein2,19.5,58.71600000000001,4.697821835702158
ein2,20.0,58.986000000000004,6.498494441022475
ein2,20.5,61.242,7.623206018467556
ein2,21.0,62.010000000000005,9.195990974332238
ein2,21.5,62.568,8.788069753933456
ein2,22.0,61.64399999999999,9.120675961791424
ein2,22.5,62.592,8.96768197473572
ein2,23.0,62.303999999999995,8.771432608188924
ein2,23.5,62.004,8.94152000501033
ein2,24.0,62.489999999999995,9.743397764640422
ein2,24.5,65.628,7.404763331802032
ein2,25.0,65.592,7.595559228917905
ein2,25.5,65.41799999999999,8.078850165710467
ein2,26.0,64.398,8.283656801195953
pgm,0.5,2.4059999999999997,0.5343032846614364
pgm,1.0,2.8560000000000003,0.42764471234893114
pgm,1.5,2.85,0.4738670699679395
pgm,2.0,3.162,0.30044966300530285
pgm,2.5,3.138,0.46018474550988764
pgm,3.0,3.9659999999999997,0.4586174876735517
pgm,3.5,3.996,0.5907029710438234
pgm,4.0,4.434,0.31635423183513744
pgm,4.5,4.32,0.38594040990805817
pgm,5.0,4.962,0.45427964955520506
pgm,5.5,4.86,0.38301436004411116
pgm,6.0,5.622,0.5493359627768785
pgm,6.5,5.37,0.4509988913511876
pgm,7.0,5.7299999999999995,0.6817990906418108
pgm,7.5,5.694,0.7560952320971217
pgm,8.0,6.575999999999999,0.7670267270441098
pgm,8.5,6.672,0.7910562559009314
pgm,9.0,7.266,0.6726291697510596
pgm,9.5,7.302,0.8951368610441641
pgm,10.0,9.234,0.7912837670519981
pgm,10.5,8.58,0.8113877001779108
pgm,11.0,11.07,1.2655236070496672
pgm,11.5,10.001999999999999,1.1188029317087085
pgm,12.0,11.892,1.0539781781422235
pgm,12.5,11.645999999999999,0.7201249891511889
pgm,13.0,13.919999999999998,1.3429817571359624
pgm,13.5,13.044,0.8053756887316625
pgm,14.0,15.45,1.0024220667962163
pgm,14.5,14.831999999999999,0.8406961401124662
pgm,15.0,17.064,1.2371863238817329
pgm,15.5,16.734,1.2482307478988013
pgm,16.0,19.356,1.897295443519538
pgm,16.5,18.6,1.9070658090375396
pgm,17.0,22.494,2.8155603349955043
pgm,17.5,21.666,2.684656402596055
pgm,18.0,24.492,3.3901061930269956
pgm,18.5,24.45,3.654463024850572
pgm,19.0,26.958,3.9913869769793067
pgm,19.5,26.183999999999997,4.18144472640737
pgm,20.0,30.941999999999997,4.29878122262578
pgm,20.5,29.28,4.213691967859065
pgm,21.0,32.22,5.269976280781538
pgm,21.5,31.794,5.082959767694407
pgm,22.0,34.614,5.718892375276877
pgm,22.5,34.212,5.7788986840054575
pgm,23.0,37.428,6.334675998028629
pgm,23.5,35.604,6.359235803144903
pgm,24.0,40.926,6.4705625721416204
pgm,24.5,40.14,7.4701506008915235
pgm,25.0,43.368,6.506148630334231
pgm,25.5,41.148,7.2242279864356425
pgm,26.0,44.826,7.64347957412068
